Queryid,Rewritten_Query
72,"WITH filtered_catalog_sales AS ( SELECT * FROM catalog_sales WHERE cs_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year = 2002 ) ) SELECT i_item_desc, w_warehouse_name, d1.d_week_seq, SUM(CASE WHEN p_promo_sk IS NULL THEN 1 ELSE 0 END) AS no_promo, SUM(CASE WHEN p_promo_sk IS NOT NULL THEN 1 ELSE 0 END) AS promo, COUNT(*) AS total_cnt FROM filtered_catalog_sales JOIN inventory ON (cs_item_sk = inv_item_sk) JOIN warehouse ON (w_warehouse_sk = inv_warehouse_sk) JOIN item ON (i_item_sk = cs_item_sk) JOIN customer_demographics ON (cs_bill_cdemo_sk = cd_demo_sk) JOIN household_demographics ON (cs_bill_hdemo_sk = hd_demo_sk) JOIN date_dim d1 ON (cs_sold_date_sk = d1.d_date_sk) JOIN date_dim d2 ON (inv_date_sk = d2.d_date_sk) JOIN date_dim d3 ON (cs_ship_date_sk = d3.d_date_sk) LEFT OUTER JOIN promotion ON (cs_promo_sk = p_promo_sk) LEFT OUTER JOIN catalog_returns ON (cr_item_sk = cs_item_sk AND cr_order_number = cs_order_number) WHERE d1.d_week_seq = d2.d_week_seq AND inv_quantity_on_hand < cs_quantity AND d3.d_date > d1.d_date + 5 AND hd_buy_potential = '1001-5000' AND d1.d_year = 2002 AND cd_marital_status = 'W' GROUP BY i_item_desc, w_warehouse_name, d1.d_week_seq ORDER BY total_cnt DESC, i_item_desc, w_warehouse_name, d_week_seq LIMIT 100;"
73," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_year in (2000, 2001, 2002) ) ) select c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, cnt from ( select ss_ticket_number, ss_customer_sk, count(*) cnt from filtered_store_sales as store_sales, date_dim, store, household_demographics where store_sales.ss_sold_date_sk = date_dim.d_date_sk and store_sales.ss_store_sk = store.s_store_sk and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk and date_dim.d_dom between 1 and 2 and (household_demographics.hd_buy_potential = '1001-5000' or household_demographics.hd_buy_potential = '5001-10000') and household_demographics.hd_vehicle_count > 0 and case when household_demographics.hd_vehicle_count > 0 then household_demographics.hd_dep_count/ household_demographics.hd_vehicle_count else null end > 1 and date_dim.d_year in (2000, 2001, 2002) and store.s_county in ('Williamson County ',' Williamson County','Williamson County','Williamson County') group by ss_ticket_number, ss_customer_sk ) dj, customer where ss_customer_sk = c_customer_sk and cnt between 1 and 5 order by cnt desc, c_last_name asc; "
78,"with filtered_web_sales as ( select * from web_sales where ws_sold_date_sk in (select d_date_sk from date_dim where d_year = 1998) ), filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in (select d_date_sk from date_dim where d_year = 1998) ), filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in (select d_date_sk from date_dim where d_year = 1998) ), ws as ( select d_year AS ws_sold_year, ws_item_sk, ws_bill_customer_sk ws_customer_sk, sum(ws_quantity) ws_qty, sum(ws_wholesale_cost) ws_wc, sum(ws_sales_price) ws_sp from filtered_web_sales left join web_returns on wr_order_number = ws_order_number and ws_item_sk = wr_item_sk join date_dim on ws_sold_date_sk = d_date_sk where wr_order_number is null group by d_year, ws_item_sk, ws_bill_customer_sk ), cs as ( select d_year AS cs_sold_year, cs_item_sk, cs_bill_customer_sk cs_customer_sk, sum(cs_quantity) cs_qty, sum(cs_wholesale_cost) cs_wc, sum(cs_sales_price) cs_sp from filtered_catalog_sales left join catalog_returns on cr_order_number = cs_order_number and cs_item_sk = cr_item_sk join date_dim on cs_sold_date_sk = d_date_sk where cr_order_number is null group by d_year, cs_item_sk, cs_bill_customer_sk ), ss as ( select d_year AS ss_sold_year, ss_item_sk, ss_customer_sk, sum(ss_quantity) ss_qty, sum(ss_wholesale_cost) ss_wc, sum(ss_sales_price) ss_sp from filtered_store_sales left join store_returns on sr_ticket_number = ss_ticket_number and ss_item_sk = sr_item_sk join date_dim on ss_sold_date_sk = d_date_sk where sr_ticket_number is null group by d_year, ss_item_sk, ss_customer_sk ) select ss_customer_sk, round(ss_qty / (coalesce(ws_qty, 0) + coalesce(cs_qty, 0)), 2) ratio, ss_qty store_qty, ss_wc store_wholesale_cost, ss_sp store_sales_price, coalesce(ws_qty, 0) + coalesce(cs_qty, 0) other_chan_qty, coalesce(ws_wc, 0) + coalesce(cs_wc, 0) other_chan_wholesale_cost, coalesce(ws_sp, 0) + coalesce(cs_sp, 0) other_chan_sales_price from ss left join ws on (ws_sold_year = ss_sold_year and ws_item_sk = ss_item_sk and ws_customer_sk = ss_customer_sk) left join cs on (cs_sold_year = ss_sold_year and cs_item_sk = ss_item_sk and cs_customer_sk = ss_customer_sk) where (coalesce(ws_qty, 0) > 0 or coalesce(cs_qty, 0) > 0) and ss_sold_year = 1998 order by ss_customer_sk, ss_qty desc, ss_wc desc, ss_sp desc, other_chan_qty, other_chan_wholesale_cost, other_chan_sales_price, ratio limit 100; "
79," with filtered_tx25 as ( select store_sales.* from store_sales where store_sales.ss_sold_date_sk in ( select date_dim.d_date_sk from date_dim where date_dim.d_dow = 4 and date_dim.d_year in (2000, 2001, 2002) ) and store_sales.ss_store_sk in ( select store.s_store_sk from store where store.s_number_employees between 200 and 295 ) and store_sales.ss_hdemo_sk in ( select household_demographics.hd_demo_sk from household_demographics where (household_demographics.hd_dep_count = 7 or household_demographics.hd_vehicle_count > -1) ) ) select c_last_name, c_first_name, substr(s_city, 1, 30), ss_ticket_number, amt, profit from ( select ss_ticket_number, ss_customer_sk, store.s_city, sum(ss_coupon_amt) amt, sum(ss_net_profit) profit from filtered_tx25 as store_sales, date_dim, store, household_demographics where store_sales.ss_sold_date_sk = date_dim.d_date_sk and store_sales.ss_store_sk = store.s_store_sk and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk and (household_demographics.hd_dep_count = 7 or household_demographics.hd_vehicle_count > -1) and date_dim.d_dow = 4 and date_dim.d_year in (2000, 2001, 2002) and store.s_number_employees between 200 and 295 group by ss_ticket_number, ss_customer_sk, ss_addr_sk, store.s_city ) ms, customer where ss_customer_sk = c_customer_sk order by c_last_name, c_first_name, substr(s_city, 1, 30), profit limit 100;"
81," with customer_total_return as ( select cr_returning_customer_sk as ctr_customer_sk, ca_state as ctr_state, sum(cr_return_amt_inc_tax) as ctr_total_return from catalog_returns join date_dim on cr_returned_date_sk = d_date_sk join customer_address on cr_returning_addr_sk = ca_address_sk where d_year = 2001 group by cr_returning_customer_sk,ca_state ) , avg_return as ( select ctr_state, avg(ctr_total_return) as avg_return from customer_total_return group by ctr_state ) select c.c_customer_id, c.c_salutation,c.c_first_name,c.c_last_name, ca.ca_street_number,ca.ca_street_name, ca.ca_street_type, ca.ca_suite_number,ca.ca_city,ca.ca_county, ca.ca_state, ca.ca_zip,ca.ca_country,ca.ca_gmt_offset, ca.ca_location_type, ctr.ctr_total_return from customer_total_return ctr join customer c on ctr.ctr_customer_sk = c.c_customer_sk join customer_address ca on ca.ca_address_sk = c.c_current_addr_sk join avg_return ar on ctr.ctr_state = ar.ctr_state where ctr.ctr_total_return > ar.avg_return * 1.2 and ca.ca_state = 'TN' order by c.c_customer_id,c.c_salutation,c.c_first_name,c.c_last_name, ca.ca_street_number,ca.ca_street_name, ca.ca_street_type, ca.ca_suite_number,ca.ca_city,ca.ca_county, ca.ca_state, ca.ca_zip,ca.ca_country,ca.ca_gmt_offset, ca.ca_location_type, ctr.ctr_total_return limit 100;  "
83," with week_dates as ( select distinct d_week_seq from date_dim where d_date in ('2001-07-13', '2001-09-10', '2001-11-16', '2000-12-14') ), filtered_dates as ( select d_date from date_dim where d_week_seq in (select d_week_seq from week_dates) ), sr_items as ( select i_item_id as item_id, sum(sr_return_quantity) as sr_item_qty from store_returns join item on sr_item_sk = i_item_sk join date_dim on sr_returned_date_sk = d_date_sk where d_date in (select d_date from filtered_dates) group by i_item_id ), cr_items as ( select i_item_id as item_id, sum(cr_return_quantity) as cr_item_qty from catalog_returns join item on cr_item_sk = i_item_sk join date_dim on cr_returned_date_sk = d_date_sk where d_date in (select d_date from filtered_dates) group by i_item_id ), wr_items as ( select i_item_id as item_id, sum(wr_return_quantity) as wr_item_qty from web_returns join item on wr_item_sk = i_item_sk join date_dim on wr_returned_date_sk = d_date_sk where d_date in (select d_date from filtered_dates) group by i_item_id ) select sr_items.item_id, sr_item_qty, sr_item_qty / (sr_item_qty + cr_item_qty + wr_item_qty) / 3.0 * 100 as sr_dev, cr_item_qty, cr_item_qty / (sr_item_qty + cr_item_qty + wr_item_qty) / 3.0 * 100 as cr_dev, wr_item_qty, wr_item_qty / (sr_item_qty + cr_item_qty + wr_item_qty) / 3.0 * 100 as wr_dev, (sr_item_qty + cr_item_qty + wr_item_qty) / 3.0 as average from sr_items join cr_items on sr_items.item_id = cr_items.item_id join wr_items on sr_items.item_id = wr_items.item_id order by sr_items.item_id, sr_item_qty limit 100; "
84,"WITH filtered_customer AS ( SELECT * FROM customer WHERE c_current_addr_sk IN ( SELECT ca_address_sk FROM customer_address WHERE ca_city = 'Woodland' ) AND c_current_cdemo_sk IN ( SELECT cd_demo_sk FROM customer_demographics WHERE cd_demo_sk IN ( SELECT sr_cdemo_sk FROM store_returns ) ) AND c_current_hdemo_sk IN ( SELECT hd_demo_sk FROM household_demographics WHERE hd_income_band_sk IN ( SELECT ib_income_band_sk FROM income_band WHERE ib_lower_bound >= 60306 AND ib_upper_bound <= 60306 + 50000 ) ) ) SELECT c_customer_id AS customer_id, COALESCE(c_last_name,'') || ',' || COALESCE(c_first_name,'') AS customername FROM filtered_customer JOIN customer_address ON c_current_addr_sk = ca_address_sk JOIN customer_demographics ON cd_demo_sk = c_current_cdemo_sk JOIN household_demographics ON hd_demo_sk = c_current_hdemo_sk JOIN income_band ON ib_income_band_sk = hd_income_band_sk JOIN store_returns ON sr_cdemo_sk = cd_demo_sk WHERE ca_city = 'Woodland' AND ib_lower_bound >= 60306 AND ib_upper_bound <= 60306 + 50000 ORDER BY c_customer_id LIMIT 100; "
86,"with filtered_web_sales as ( select * from web_sales where ws_sold_date_sk in ( select d_date_sk from date_dim where d_month_seq between 1186 and 1186 + 11 ) ) select * from ( select sum(ws_net_paid) as total_sum, i_category, i_class, grouping(i_category) + grouping(i_class) as lochierarchy, rank() over ( partition by grouping(i_category) + grouping(i_class), case when grouping(i_class) = 0 then i_category end order by sum(ws_net_paid) desc ) as rank_within_parent from filtered_web_sales, date_dim d1, item where d1.d_month_seq between 1186 and 1186 + 11 and d1.d_date_sk = ws_sold_date_sk and i_item_sk = ws_item_sk group by rollup(i_category, i_class) ) as tmp order by lochierarchy desc, case when lochierarchy = 0 then i_category end, rank_within_parent limit 100; "
88," WITH sales_by_interval AS ( SELECT CASE WHEN t_hour = 8 AND t_minute >= 30 THEN 'h8_30_to_9' WHEN t_hour = 9 AND t_minute < 30 THEN 'h9_to_9_30' WHEN t_hour = 9 AND t_minute >= 30 THEN 'h9_30_to_10' WHEN t_hour = 10 AND t_minute < 30 THEN 'h10_to_10_30' WHEN t_hour = 10 AND t_minute >= 30 THEN 'h10_30_to_11' WHEN t_hour = 11 AND t_minute < 30 THEN 'h11_to_11_30' WHEN t_hour = 11 AND t_minute >= 30 THEN 'h11_30_to_12' WHEN t_hour = 12 AND t_minute < 30 THEN 'h12_to_12_30' END AS interval_label, COUNT(*) AS count FROM store_sales JOIN household_demographics ON ss_hdemo_sk = hd_demo_sk JOIN time_dim ON ss_sold_time_sk = t_time_sk JOIN store ON ss_store_sk = s_store_sk WHERE store.s_store_name = 'ese' AND ( (household_demographics.hd_dep_count = 0 AND household_demographics.hd_vehicle_count <= 0 + 2) OR (household_demographics.hd_dep_count = -1 AND household_demographics.hd_vehicle_count <= -1 + 2) OR (household_demographics.hd_dep_count = 3 AND household_demographics.hd_vehicle_count <= 3 + 2) ) AND t_hour IN (8, 9, 10, 11, 12) AND ( (t_hour = 8 AND t_minute >= 30) OR (t_hour = 9 AND t_minute < 30) OR (t_hour = 9 AND t_minute >= 30) OR (t_hour = 10 AND t_minute < 30) OR (t_hour = 10 AND t_minute >= 30) OR (t_hour = 11 AND t_minute < 30) OR (t_hour = 11 AND t_minute >= 30) OR (t_hour = 12 AND t_minute < 30) ) GROUP BY interval_label ) SELECT MAX(CASE WHEN interval_label = 'h8_30_to_9' THEN count ELSE 0 END) AS h8_30_to_9, MAX(CASE WHEN interval_label = 'h9_to_9_30' THEN count ELSE 0 END) AS h9_to_9_30, MAX(CASE WHEN interval_label = 'h9_30_to_10' THEN count ELSE 0 END) AS h9_30_to_10, MAX(CASE WHEN interval_label = 'h10_to_10_30' THEN count ELSE 0 END) AS h10_to_10_30, MAX(CASE WHEN interval_label = 'h10_30_to_11' THEN count ELSE 0 END) AS h10_30_to_11, MAX(CASE WHEN interval_label = 'h11_to_11_30' THEN count ELSE 0 END) AS h11_to_11_30, MAX(CASE WHEN interval_label = 'h11_30_to_12' THEN count ELSE 0 END) AS h11_30_to_12, MAX(CASE WHEN interval_label = 'h12_to_12_30' THEN count ELSE 0 END) AS h12_to_12_30 FROM sales_by_interval; "
89," WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year = 2001 ) ) SELECT * FROM ( SELECT i_category, i_class, i_brand, s_store_name, s_company_name, d_moy, SUM(ss_sales_price) AS sum_sales, AVG(SUM(ss_sales_price)) OVER (PARTITION BY i_category, i_brand, s_store_name, s_company_name) AS avg_monthly_sales FROM item, filtered_store_sales, date_dim, store WHERE ss_item_sk = i_item_sk AND ss_sold_date_sk = d_date_sk AND ss_store_sk = s_store_sk AND d_year = 2001 AND ( (i_category IN ('Books', 'Children', 'Electronics') AND i_class IN ('history', 'school-uniforms', 'audio')) OR (i_category IN ('Men', 'Sports', 'Shoes') AND i_class IN ('pants', 'tennis', 'womens')) ) GROUP BY i_category, i_class, i_brand, s_store_name, s_company_name, d_moy ) tmp1 WHERE CASE WHEN (avg_monthly_sales <> 0) THEN (ABS(sum_sales - avg_monthly_sales) / avg_monthly_sales) ELSE NULL END > 0.1 ORDER BY sum_sales - avg_monthly_sales, s_store_name LIMIT 100; "
90,"SELECT CAST(SUM(CASE WHEN time_dim.t_hour BETWEEN 12 AND 13 THEN 1 ELSE 0 END) AS DECIMAL(15,4)) / CAST(SUM(CASE WHEN time_dim.t_hour BETWEEN 14 AND 15 THEN 1 ELSE 0 END) AS DECIMAL(15,4)) AS am_pm_ratio FROM web_sales JOIN household_demographics ON ws_ship_hdemo_sk = household_demographics.hd_demo_sk JOIN time_dim ON ws_sold_time_sk = time_dim.t_time_sk JOIN web_page ON ws_web_page_sk = web_page.wp_web_page_sk WHERE household_demographics.hd_dep_count = 6 AND web_page.wp_char_count BETWEEN 5000 AND 5200 AND (time_dim.t_hour BETWEEN 12 AND 13 OR time_dim.t_hour BETWEEN 14 AND 15) ORDER BY am_pm_ratio limit 100; "
91,"WITH filtered_catalog_returns AS ( SELECT * FROM catalog_returns WHERE cr_returned_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year = 2000 AND d_moy = 12 ) ) SELECT cc_call_center_id AS Call_Center, cc_name AS Call_Center_Name, cc_manager AS Manager, SUM(cr_net_loss) AS Returns_Loss FROM filtered_catalog_returns AS cr, call_center, date_dim, customer, customer_address, customer_demographics, household_demographics WHERE cr.cr_call_center_sk = cc_call_center_sk AND cr.cr_returned_date_sk = d_date_sk AND cr.cr_returning_customer_sk = c_customer_sk AND cd_demo_sk = c_current_cdemo_sk AND hd_demo_sk = c_current_hdemo_sk AND ca_address_sk = c_current_addr_sk AND d_year = 2000 AND d_moy = 12 AND ((cd_marital_status = 'M' AND cd_education_status = 'Advanced Degree     ') OR (cd_marital_status = 'W' AND cd_education_status = 'Unnknown')) AND hd_buy_potential LIKE 'Unknown%' AND ca_gmt_offset = -7 GROUP BY cc_call_center_id, cc_name, cc_manager, cd_marital_status, cd_education_status ORDER BY SUM(cr_net_loss) DESC;"
92,"  with filtered_web_sales as ( select * from web_sales where ws_item_sk in ( select i_item_sk from item where i_manufact_id = 393 ) and ws_sold_date_sk in ( select d_date_sk from date_dim where d_date between '2000-02-01' and (cast('2000-02-01' as date) + interval '90' day) ) ) select sum(ws_ext_discount_amt) as ""Excess Discount Amount"" from filtered_web_sales as ws, item, date_dim where i_manufact_id = 393 and i_item_sk = ws.ws_item_sk and d_date between '2000-02-01' and (cast('2000-02-01' as date) + interval '90' day) and d_date_sk = ws.ws_sold_date_sk and ws_ext_discount_amt > ( select 1.3 * avg(ws_ext_discount_amt) from web_sales, date_dim where ws_item_sk = i_item_sk and d_date between '2000-02-01' and (cast('2000-02-01' as date) + interval '90' day) and d_date_sk = ws_sold_date_sk ) order by sum(ws_ext_discount_amt) limit 100; "
95,"  WITH ws_wh AS ( SELECT ws1.ws_order_number, ws1.ws_warehouse_sk wh1, ws2.ws_warehouse_sk wh2 FROM web_sales ws1, web_sales ws2 WHERE ws1.ws_order_number = ws2.ws_order_number AND ws1.ws_warehouse_sk <> ws2.ws_warehouse_sk ) SELECT COUNT(DISTINCT ws1.ws_order_number) AS ""order count"", SUM(ws1.ws_ext_ship_cost) AS ""total shipping cost"", SUM(ws1.ws_net_profit) AS ""total net profit"" FROM web_sales ws1 JOIN date_dim ON ws1.ws_ship_date_sk = d_date_sk JOIN customer_address ON ws1.ws_ship_addr_sk = ca_address_sk JOIN web_site ON ws1.ws_web_site_sk = web_site_sk WHERE d_date BETWEEN '2001-4-01' AND (CAST('2001-4-01' AS DATE) + INTERVAL '60' DAY) AND ca_state = 'VA' AND web_company_name = 'pri' AND ws1.ws_order_number IN ( SELECT ws_order_number FROM ws_wh WHERE ws_order_number IN ( SELECT wr_order_number FROM web_returns ) ) ORDER BY COUNT(DISTINCT ws1.ws_order_number) LIMIT 100; "
96," with filtered_store_sales as ( select * from store_sales where ss_sold_time_sk in ( select t_time_sk from time_dim where t_hour = 8 and t_minute >= 30 ) ) select count(*) from filtered_store_sales, household_demographics, time_dim, store where filtered_store_sales.ss_sold_time_sk = time_dim.t_time_sk and filtered_store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk and filtered_store_sales.ss_store_sk = s_store_sk and time_dim.t_hour = 8 and time_dim.t_minute >= 30 and household_demographics.hd_dep_count = 0 and store.s_store_name = 'ese' order by count(*) limit 100; "
98," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_date between cast('1999-02-05' as date) and (cast('1999-02-05' as date) + interval '30' day) ) ) select i_item_id, i_item_desc, i_category, i_class, i_current_price, sum(ss_ext_sales_price) as itemrevenue, sum(ss_ext_sales_price) * 100 / sum(sum(ss_ext_sales_price)) over (partition by i_class) as revenueratio from filtered_store_sales as store_sales, item, date_dim where store_sales.ss_item_sk = item.i_item_sk and item.i_category in ('Men', 'Sports', 'Jewelry') and store_sales.ss_sold_date_sk = date_dim.d_date_sk and date_dim.d_date between cast('1999-02-05' as date) and (cast('1999-02-05' as date) + interval '30' day) group by i_item_id, i_item_desc, i_category, i_class, i_current_price order by i_category, i_class, i_item_id, i_item_desc, revenueratio; "
99,"  WITH filtered_catalog_sales AS ( SELECT * FROM catalog_sales WHERE cs_ship_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_month_seq BETWEEN 1194 AND 1205 ) ) SELECT substr(w_warehouse_name, 1, 20), sm_type, cc_name, SUM(CASE WHEN (cs_ship_date_sk - cs_sold_date_sk <= 30) THEN 1 ELSE 0 END) AS ""30 days"", SUM(CASE WHEN (cs_ship_date_sk - cs_sold_date_sk > 30) AND (cs_ship_date_sk - cs_sold_date_sk <= 60) THEN 1 ELSE 0 END) AS ""31-60 days"", SUM(CASE WHEN (cs_ship_date_sk - cs_sold_date_sk > 60) AND (cs_ship_date_sk - cs_sold_date_sk <= 90) THEN 1 ELSE 0 END) AS ""61-90 days"", SUM(CASE WHEN (cs_ship_date_sk - cs_sold_date_sk > 90) AND (cs_ship_date_sk - cs_sold_date_sk <= 120) THEN 1 ELSE 0 END) AS ""91-120 days"", SUM(CASE WHEN (cs_ship_date_sk - cs_sold_date_sk > 120) THEN 1 ELSE 0 END) AS "">120 days"" FROM filtered_catalog_sales JOIN warehouse ON cs_warehouse_sk = w_warehouse_sk JOIN ship_mode ON cs_ship_mode_sk = sm_ship_mode_sk JOIN call_center ON cs_call_center_sk = cc_call_center_sk JOIN date_dim ON cs_ship_date_sk = d_date_sk WHERE d_month_seq BETWEEN 1194 AND 1205 GROUP BY substr(w_warehouse_name, 1, 20), sm_type, cc_name ORDER BY substr(w_warehouse_name, 1, 20), sm_type, cc_name LIMIT 100; "
